UID,Top_1_JID,Top_1_Raiting,Top_10_Recomendations
19540,36,3.537295266679565,"[36, 72, 80, 83, 76, 100, 73, 89, 81, 78]"
22146,98,5.772479697377969,"[98, 83, 25, 72, 22, 12, 4, 100, 81, 76]"
1320,36,4.915429151335115,"[36, 35, 11, 31, 10, 22, 81, 83, 42, 56]"
4129,93,4.919896911739892,"[93, 88, 82, 94, 70, 23, 100, 92, 45, 30]"
15675,29,4.666109370507002,"[29, 88, 87, 96, 55, 22, 56, 25, 65, 83]"
16406,89,4.004654166579508,"[89, 93, 72, 32, 28, 47, 61, 80, 14, 88]"
17205,5,2.6795986237457106,"[5, 51, 80, 83, 65, 73, 78, 72, 85, 76]"
1027,89,4.430641335580185,"[89, 3, 47, 93, 64, 63, 90, 97, 78, 83]"
23975,1,8.188314989899023,"[1, 57, 16, 60, 13, 96, 40, 92, 93, 72]"
6360,53,6.3342019011332225,"[53, 49, 31, 83, 68, 87, 76, 35, 91, 46]"
5262,38,6.263432730989299,"[38, 32, 60, 48, 45, 28, 86, 59, 25, 9]"
11945,50,3.3869023370627267,"[50, 27, 31, 54, 35, 100, 89, 55, 80, 72]"
237,27,4.75075567042151,"[27, 89, 72, 83, 78, 93, 81, 76, 61, 80]"
15953,91,-0.4631496578346287,"[91, 89, 8, 53, 88, 10, 97, 95, 96, 93]"
21260,29,4.587568135617955,"[29, 83, 72, 89, 81, 93, 91, 76, 69, 87]"
3627,29,4.710727733295559,"[29, 54, 89, 53, 93, 14, 21, 27, 81, 76]"
2923,72,1.7281528750187913,"[72, 85, 76, 27, 81, 14, 56, 80, 75, 19]"
8448,21,5.528561082584336,"[21, 83, 78, 72, 81, 100, 76, 80, 73, 53]"
12502,1,4.961651514542702,"[1, 82, 35, 95, 65, 67, 93, 68, 44, 27]"
19446,32,4.770643209217839,"[32, 49, 35, 31, 56, 28, 14, 22, 6, 63]"
23455,73,9.805845840655792,"[73, 77, 96, 100, 83, 12, 6, 97, 5, 19]"
5546,32,7.1737788533671125,"[32, 21, 28, 47, 91, 87, 18, 100, 78, 11]"
10128,36,2.0512897330616724,"[36, 50, 53, 76, 62, 66, 89, 42, 46, 48]"
737,31,3.64883460046339,"[31, 36, 69, 35, 42, 66, 28, 6, 76, 34]"
1731,29,2.375314322093351,"[29, 36, 50, 61, 48, 56, 14, 39, 63, 89]"
5581,65,2.5183561158750623,"[65, 27, 8, 83, 11, 13, 81, 38, 71, 80]"
24601,26,5.5755327935321315,"[26, 50, 41, 13, 80, 67, 43, 33, 15, 87]"
24834,49,5.12652903929613,"[49, 50, 68, 83, 69, 14, 72, 89, 76, 78]"
22178,22,3.5768185588167363,"[22, 1, 31, 10, 68, 23, 63, 30, 59, 89]"
13934,89,4.602614084452893,"[89, 55, 83, 93, 91, 32, 72, 92, 96, 81]"
19205,31,6.131340824123695,"[31, 48, 27, 39, 40, 83, 72, 63, 65, 100]"
22707,27,3.3710982676338728,"[27, 32, 29, 53, 1, 45, 87, 61, 78, 64]"
14169,50,4.347014825667259,"[50, 65, 26, 42, 17, 83, 49, 46, 10, 25]"
9422,89,2.18410370453035,"[89, 62, 72, 76, 78, 47, 83, 50, 65, 77]"
21086,72,3.624150169536185,"[72, 81, 89, 92, 29, 82, 68, 55, 100, 11]"
431,50,7.637609858963106,"[50, 56, 46, 15, 83, 89, 72, 25, 88, 91]"
23080,83,3.685634859853216,"[83, 89, 81, 72, 76, 78, 91, 93, 77, 88]"
11358,50,7.216016335640815,"[50, 100, 53, 22, 34, 83, 81, 46, 39, 72]"
8873,2,6.2242317805385925,"[2, 81, 66, 26, 1, 48, 6, 47, 40, 80]"
8045,3,2.443117746902976,"[3, 97, 98, 5, 91, 94, 81, 89, 93, 39]"
21694,75,-1.194234134083206,"[75, 72, 93, 92, 81, 52, 74, 28, 49, 12]"
22483,29,6.050166098344894,"[29, 38, 1, 22, 10, 27, 89, 40, 2, 81]"
727,81,5.096176105713755,"[81, 72, 50, 98, 53, 96, 20, 7, 70, 23]"
16637,83,7.576684668615916,"[83, 48, 89, 49, 80, 100, 28, 35, 90, 50]"
2931,89,7.1342378271683415,"[89, 97, 66, 1, 28, 99, 63, 78, 18, 73]"
5094,48,5.162713092752734,"[48, 41, 11, 21, 32, 26, 39, 12, 97, 52]"
12413,100,6.022359105746807,"[100, 52, 80, 31, 72, 65, 78, 81, 83, 85]"
10244,32,5.498479818309139,"[32, 27, 28, 96, 78, 6, 73, 94, 70, 60]"
24787,5,2.560177205420836,"[5, 7, 70, 85, 29, 73, 51, 68, 12, 28]"
5784,5,2.7681607448209764,"[5, 27, 83, 72, 78, 89, 54, 76, 80, 36]"
6890,53,1.6613313789385893,"[53, 49, 31, 93, 21, 72, 45, 6, 97, 95]"
7664,86,6.310647585359988,"[86, 27, 91, 1, 88, 98, 24, 84, 9, 82]"
18904,89,3.406860663791496,"[89, 49, 10, 93, 45, 88, 54, 11, 76, 32]"
7374,89,4.843028576014919,"[89, 27, 35, 93, 91, 72, 81, 76, 68, 65]"
568,81,1.4427045999049004,"[81, 83, 98, 31, 14, 42, 72, 49, 87, 89]"
8286,29,7.067371979455416,"[29, 32, 66, 34, 72, 11, 39, 6, 89, 81]"
12821,68,7.587214656623681,"[68, 62, 32, 35, 69, 65, 39, 48, 40, 23]"
2440,49,2.549700234228259,"[49, 28, 89, 90, 66, 93, 94, 63, 76, 72]"
19410,80,1.7286124029469947,"[80, 5, 73, 72, 76, 50, 100, 87, 29, 89]"
5452,22,7.120891635421602,"[22, 38, 45, 69, 39, 40, 30, 68, 50, 100]"
16011,98,1.9080010871357123,"[98, 55, 56, 49, 10, 62, 64, 87, 43, 4]"
13273,81,6.432463983569955,"[81, 35, 38, 55, 2, 29, 93, 23, 98, 43]"
9102,29,3.431704234007408,"[29, 36, 53, 89, 93, 61, 28, 14, 40, 76]"
9663,27,3.85932435298878,"[27, 83, 14, 72, 78, 40, 80, 76, 3, 81]"
8979,53,4.762888852311547,"[53, 49, 27, 68, 69, 28, 12, 40, 34, 52]"
3784,14,3.692243893769893,"[14, 34, 12, 26, 66, 39, 56, 22, 2, 73]"
11441,1,2.0646828805193653,"[1, 88, 22, 91, 72, 81, 94, 10, 83, 76]"
13303,89,2.0229617578859638,"[89, 55, 94, 72, 96, 77, 86, 23, 30, 60]"
12560,83,1.3357469991426925,"[83, 72, 76, 81, 68, 62, 98, 89, 93, 27]"
4103,50,3.8084989510751215,"[50, 32, 54, 100, 72, 78, 26, 6, 34, 28]"
23700,66,5.622160307627659,"[66, 29, 49, 89, 76, 42, 83, 93, 45, 80]"
3690,38,4.857542580541075,"[38, 91, 89, 1, 87, 35, 99, 19, 37, 32]"
19000,94,1.9537922252035937,"[94, 86, 43, 91, 60, 24, 97, 88, 89, 9]"
1396,50,3.537041847998915,"[50, 29, 62, 89, 81, 68, 49, 93, 31, 83]"
18082,91,5.8214102415565225,"[91, 85, 32, 55, 76, 10, 68, 41, 45, 29]"
12791,27,4.918061741488856,"[27, 62, 14, 49, 34, 68, 83, 56, 61, 38]"
21705,29,3.52230834206543,"[29, 54, 68, 60, 1, 66, 88, 27, 95, 55]"
11688,27,6.103197024917728,"[27, 53, 69, 66, 49, 68, 48, 88, 46, 19]"
20651,35,4.042290700020585,"[35, 28, 15, 48, 63, 7, 10, 60, 86, 61]"
21143,32,2.6803763953200703,"[32, 27, 53, 5, 10, 94, 65, 61, 90, 44]"
3808,62,6.512038715539405,"[62, 68, 21, 56, 31, 48, 39, 93, 72, 83]"
14588,36,2.2473951120228124,"[36, 35, 54, 6, 80, 21, 93, 76, 46, 78]"
14581,62,8.021355446964087,"[62, 49, 32, 12, 46, 89, 66, 34, 56, 29]"
14249,5,-3.5682852135232084,"[5, 36, 50, 76, 35, 89, 91, 72, 98, 16]"
3370,76,2.4344820717785787,"[76, 50, 72, 29, 61, 94, 45, 70, 90, 40]"
17232,21,7.876298315338428,"[21, 42, 32, 36, 27, 66, 34, 81, 70, 17]"
5831,21,4.625346885333995,"[21, 72, 12, 100, 62, 80, 81, 83, 26, 89]"
22139,54,3.227987507695007,"[54, 69, 36, 47, 96, 99, 77, 6, 12, 75]"
11470,86,0.2690001976905326,"[86, 94, 8, 10, 91, 32, 60, 95, 89, 97]"
23306,95,5.795688948824633,"[95, 97, 68, 47, 92, 61, 3, 54, 49, 28]"
23276,48,1.802344837422131,"[48, 49, 7, 35, 21, 42, 39, 56, 40, 93]"
14285,21,1.8354316036269143,"[21, 78, 100, 83, 89, 76, 72, 77, 11, 29]"
3828,27,5.380012742475072,"[27, 50, 62, 72, 89, 65, 21, 83, 11, 81]"
988,89,3.5672344538058214,"[89, 68, 72, 83, 93, 76, 38, 96, 97, 39]"
14440,98,5.5061544848073805,"[98, 83, 100, 81, 72, 3, 76, 85, 87, 42]"
11694,29,7.270075424336911,"[29, 26, 72, 65, 47, 48, 45, 87, 73, 7]"
5169,72,1.3524517060155536,"[72, 76, 80, 73, 11, 50, 32, 77, 81, 79]"
23514,28,7.072813281478174,"[28, 48, 89, 49, 23, 10, 55, 59, 97, 93]"
14820,60,0.3378728377178202,"[60, 1, 64, 86, 94, 88, 89, 91, 97, 41]"
22697,1,5.097222431807571,"[1, 15, 18, 93, 76, 87, 48, 71, 69, 66]"
21045,36,2.545790953962678,"[36, 32, 35, 66, 49, 72, 61, 98, 91, 2]"
19606,89,4.050766390457616,"[89, 86, 79, 74, 68, 5, 99, 34, 42, 1]"
14414,81,8.52117140707874,"[81, 98, 65, 76, 34, 85, 27, 39, 68, 36]"
24692,89,6.413466473899001,"[89, 28, 35, 96, 47, 38, 55, 77, 61, 80]"
21064,35,2.632084796973927,"[35, 50, 66, 56, 47, 21, 92, 19, 98, 63]"
10361,29,3.7995542821548485,"[29, 35, 56, 68, 54, 72, 21, 13, 15, 76]"
24178,94,0.7386738250213813,"[94, 86, 44, 18, 10, 57, 67, 23, 95, 96]"
9904,50,-1.0348895663259143,"[50, 2, 69, 62, 65, 87, 89, 83, 94, 72]"
392,50,6.790353949961997,"[50, 32, 93, 54, 76, 2, 31, 65, 63, 92]"
8883,89,4.554604651682517,"[89, 53, 54, 47, 96, 72, 27, 76, 88, 97]"
12678,53,3.9392485777567208,"[53, 89, 42, 83, 72, 93, 76, 100, 27, 81]"
19273,22,2.7668598465981074,"[22, 42, 83, 34, 11, 55, 26, 10, 25, 72]"
9057,10,2.5008544746195107,"[10, 86, 94, 68, 81, 32, 89, 91, 88, 1]"
12548,98,5.271605809720768,"[98, 76, 82, 92, 87, 65, 35, 39, 36, 50]"
22934,35,4.743780228744901,"[35, 36, 68, 83, 89, 2, 46, 76, 81, 80]"
20588,18,0.8275823880591189,"[18, 1, 91, 86, 94, 50, 35, 44, 10, 32]"
277,69,2.049758104561884,"[69, 56, 86, 42, 22, 2, 14, 6, 82, 44]"
10337,31,0.25717947966198584,"[31, 98, 83, 11, 39, 100, 72, 53, 76, 80]"
24117,89,3.5019026305809464,"[89, 27, 93, 66, 94, 72, 8, 42, 84, 91]"
13012,60,3.0725601140327488,"[60, 1, 18, 29, 88, 94, 95, 57, 86, 9]"
23680,29,7.274447299335797,"[29, 27, 18, 61, 2, 34, 31, 48, 67, 47]"
6044,21,7.9837810315533915,"[21, 26, 89, 34, 35, 83, 100, 72, 81, 62]"
19979,18,0.7770478582363818,"[18, 86, 81, 94, 88, 87, 91, 95, 25, 46]"
15664,1,3.570082607031681,"[1, 29, 10, 46, 32, 81, 65, 22, 89, 49]"
18382,91,5.550901400806955,"[91, 76, 72, 29, 21, 55, 98, 62, 36, 3]"
20112,50,5.615582170941565,"[50, 81, 69, 76, 46, 80, 73, 12, 25, 39]"
409,83,2.8802318411676793,"[83, 72, 50, 98, 89, 81, 76, 91, 93, 36]"
18143,83,4.27428983686981,"[83, 81, 21, 76, 98, 72, 26, 91, 34, 87]"
23576,35,4.034901566843433,"[35, 89, 93, 21, 88, 72, 83, 28, 96, 97]"
2202,29,4.90429380319628,"[29, 1, 56, 21, 5, 15, 26, 55, 7, 8]"
12757,1,4.21019735849219,"[1, 93, 84, 4, 100, 97, 92, 77, 87, 74]"
9407,29,4.48103558687496,"[29, 54, 26, 7, 41, 42, 87, 98, 19, 58]"
6392,66,5.581383219084918,"[66, 89, 31, 36, 80, 72, 93, 83, 42, 76]"
9019,38,8.20838908264296,"[38, 12, 34, 69, 45, 56, 3, 29, 53, 59]"
20611,27,2.9967948855702904,"[27, 29, 89, 69, 72, 83, 76, 66, 61, 42]"
21376,68,8.214276855072274,"[68, 32, 21, 54, 66, 35, 36, 29, 12, 42]"
13520,89,1.2543822530872202,"[89, 49, 72, 76, 81, 28, 93, 88, 27, 83]"
14153,81,7.750674685655908,"[81, 88, 60, 9, 30, 1, 93, 62, 100, 65]"
15610,62,8.106642751452545,"[62, 89, 68, 93, 80, 91, 30, 95, 90, 77]"
9115,83,5.1547707527037225,"[83, 84, 93, 32, 23, 28, 35, 70, 53, 69]"
21704,25,7.424852253756821,"[25, 62, 97, 77, 39, 66, 65, 50, 49, 27]"
8003,49,6.264090428074131,"[49, 72, 29, 36, 66, 84, 42, 86, 6, 77]"
5126,2,8.567935914065876,"[2, 25, 38, 24, 43, 12, 88, 23, 27, 39]"
15549,1,1.3791150028774102,"[1, 44, 27, 66, 53, 7, 57, 60, 3, 86]"
21476,62,4.023607579074582,"[62, 35, 53, 42, 6, 40, 72, 83, 100, 52]"
24295,98,-1.5361357810997365,"[98, 69, 89, 83, 72, 62, 21, 97, 93, 76]"
18278,49,6.933739955538131,"[49, 72, 89, 32, 93, 76, 56, 83, 97, 77]"
13738,54,4.774145378567493,"[54, 62, 89, 76, 29, 42, 72, 93, 83, 97]"
4868,65,4.269916161098847,"[65, 81, 87, 26, 42, 98, 76, 83, 72, 56]"
14986,90,3.0747587814325508,"[90, 94, 86, 89, 97, 38, 84, 77, 82, 19]"
12584,42,2.346082799483832,"[42, 83, 72, 98, 6, 76, 89, 78, 35, 80]"
11464,77,8.111831947067637,"[77, 73, 72, 80, 96, 79, 47, 76, 90, 68]"
3301,83,8.024612548791252,"[83, 85, 11, 27, 72, 54, 6, 53, 28, 91]"
23637,80,6.375372808795074,"[80, 83, 78, 35, 81, 62, 73, 53, 72, 79]"
14804,53,0.14574894517227044,"[53, 89, 76, 69, 83, 72, 81, 91, 14, 2]"
24599,27,4.484562307414512,"[27, 42, 21, 14, 88, 35, 78, 92, 97, 86]"
10246,62,5.973457311607796,"[62, 32, 69, 56, 84, 42, 63, 19, 10, 22]"
24849,89,6.261431479152273,"[89, 75, 32, 14, 78, 99, 34, 100, 70, 39]"
15433,11,-0.8823674796037003,"[11, 52, 5, 100, 83, 36, 35, 72, 3, 81]"
11739,83,6.479855024982701,"[83, 72, 14, 80, 35, 98, 26, 29, 78, 89]"
23387,35,4.256874837041802,"[35, 2, 72, 91, 81, 47, 38, 34, 22, 92]"
4217,68,3.4477621406717702,"[68, 50, 36, 96, 27, 88, 28, 42, 14, 7]"
2903,78,5.7156492949585305,"[78, 72, 81, 80, 79, 54, 97, 85, 61, 86]"
5017,21,4.299671020889028,"[21, 32, 89, 91, 93, 100, 97, 83, 72, 19]"
14932,72,3.209857682012137,"[72, 53, 49, 77, 92, 97, 84, 71, 14, 18]"
1036,32,2.2232969034546133,"[32, 22, 69, 81, 66, 62, 25, 13, 34, 55]"
22837,54,5.38248591842232,"[54, 68, 14, 29, 28, 46, 89, 97, 63, 39]"
21290,1,6.154322267289263,"[1, 50, 23, 32, 94, 59, 96, 34, 66, 57]"
18693,3,2.8443644709737455,"[3, 2, 81, 60, 24, 94, 86, 15, 9, 87]"
19187,80,6.643818416876541,"[80, 27, 50, 89, 26, 93, 36, 39, 51, 66]"
21299,29,3.817191084476953,"[29, 35, 53, 62, 10, 42, 38, 72, 96, 46]"
22078,47,3.6560771768768734,"[47, 68, 89, 93, 91, 90, 72, 96, 82, 84]"
7784,72,1.406921536307363,"[72, 10, 49, 11, 48, 93, 97, 40, 83, 31]"
8951,36,3.123061522019823,"[36, 27, 89, 1, 83, 65, 72, 93, 88, 76]"
14870,68,3.5787229731462094,"[68, 76, 80, 62, 66, 83, 49, 39, 54, 87]"
5374,29,3.5219520753172278,"[29, 65, 27, 56, 31, 42, 72, 39, 67, 47]"
17213,50,5.131315547480046,"[50, 35, 31, 3, 40, 83, 61, 65, 78, 42]"
7314,54,6.898074337014751,"[54, 21, 72, 83, 61, 39, 1, 97, 81, 3]"
11473,89,5.632947161385207,"[89, 62, 32, 19, 28, 35, 65, 27, 91, 14]"
18513,27,3.6646192532647386,"[27, 61, 89, 83, 76, 93, 80, 81, 87, 100]"
23154,72,-1.1904648242991254,"[72, 89, 76, 73, 85, 90, 43, 92, 87, 3]"
15481,27,5.030621091556949,"[27, 50, 36, 32, 81, 62, 83, 98, 40, 68]"
22642,97,8.734683508678952,"[97, 3, 40, 11, 49, 22, 42, 88, 83, 100]"
11874,5,4.1027587628737745,"[5, 81, 100, 72, 83, 85, 73, 78, 80, 76]"
23902,85,10.0,"[85, 74, 3, 78, 60, 23, 76, 97, 72, 92]"
7032,94,4.5691864944264395,"[94, 62, 47, 66, 69, 8, 56, 34, 71, 85]"
18537,89,4.115983745818353,"[89, 91, 27, 86, 93, 88, 56, 76, 87, 72]"
6235,29,3.054741470707781,"[29, 81, 53, 22, 42, 100, 72, 76, 31, 83]"
5814,1,4.0785085816702855,"[1, 2, 10, 29, 95, 87, 72, 88, 93, 66]"
3569,29,6.212773321754173,"[29, 53, 68, 83, 69, 93, 61, 14, 26, 5]"
3637,1,2.6401116527404564,"[1, 35, 50, 60, 68, 49, 63, 22, 94, 86]"
14602,89,0.7034916555466743,"[89, 62, 49, 72, 83, 29, 76, 93, 42, 71]"
9765,35,6.294860303371544,"[35, 32, 89, 29, 56, 53, 38, 93, 88, 39]"
9481,50,6.876409297527365,"[50, 27, 35, 53, 32, 41, 26, 40, 60, 9]"
6319,89,4.514901937983314,"[89, 50, 88, 60, 63, 49, 93, 68, 86, 94]"
3681,65,4.467559494946826,"[65, 80, 35, 72, 12, 89, 73, 51, 68, 78]"
21651,86,4.623641741622173,"[86, 68, 91, 73, 47, 85, 32, 19, 71, 80]"
17568,32,2.934493480098715,"[32, 89, 88, 93, 96, 81, 76, 78, 82, 83]"
20436,29,3.9855676112661382,"[29, 69, 72, 98, 83, 54, 89, 14, 42, 81]"
12575,31,6.263142418817708,"[31, 35, 32, 56, 68, 6, 39, 89, 47, 38]"
12510,32,2.514483701860306,"[32, 89, 48, 91, 83, 97, 93, 94, 87, 10]"
13538,62,5.076918844169696,"[62, 68, 38, 54, 48, 91, 72, 42, 45, 31]"
14696,3,3.011692253472538,"[3, 2, 34, 42, 100, 83, 98, 50, 26, 33]"
10828,68,9.062392903351139,"[68, 89, 88, 92, 86, 91, 87, 1, 54, 72]"
9732,22,7.597951340178891,"[22, 6, 100, 41, 30, 61, 62, 27, 64, 63]"
11395,83,4.983148814278765,"[83, 76, 53, 98, 35, 61, 17, 66, 91, 68]"
16097,50,2.318427867202206,"[50, 72, 89, 83, 69, 73, 3, 31, 82, 5]"
12973,62,1.2676045726081355,"[62, 76, 72, 93, 89, 53, 27, 88, 87, 69]"
10783,50,4.61753421674964,"[50, 89, 72, 96, 97, 36, 54, 91, 81, 83]"
5971,50,5.837775395582113,"[50, 62, 35, 66, 29, 42, 47, 81, 64, 76]"
19329,32,6.944725800818167,"[32, 54, 46, 89, 61, 81, 93, 88, 91, 26]"
19371,89,2.3770780982726327,"[89, 83, 72, 81, 77, 79, 78, 91, 80, 93]"
14217,29,1.2493727223984639,"[29, 50, 98, 19, 62, 97, 94, 26, 47, 22]"
7307,84,-2.2560820537402986,"[84, 82, 2, 93, 36, 98, 28, 56, 92, 75]"
5926,21,9.522900517604498,"[21, 31, 83, 35, 72, 66, 89, 47, 56, 100]"
20091,21,6.640451123996799,"[21, 29, 65, 62, 100, 61, 42, 97, 85, 78]"
32,35,3.10642307242912,"[35, 50, 81, 78, 72, 11, 80, 88, 83, 89]"
10591,89,1.937316014977484,"[89, 78, 7, 68, 93, 72, 88, 35, 82, 76]"
12134,97,5.203451626774991,"[97, 68, 72, 54, 94, 77, 84, 47, 28, 95]"
17001,72,2.7913501681242945,"[72, 87, 65, 76, 9, 75, 83, 78, 98, 79]"
21548,89,3.0507104641893643,"[89, 62, 36, 29, 68, 93, 69, 88, 49, 72]"
1582,89,1.1535513061265323,"[89, 94, 96, 86, 91, 97, 88, 76, 90, 1]"
16856,1,2.5956104478024473,"[1, 11, 64, 52, 86, 22, 93, 51, 72, 97]"
11496,27,1.0429583046807318,"[27, 29, 81, 10, 87, 76, 46, 72, 42, 83]"
18457,69,3.0637500793279453,"[69, 62, 89, 72, 93, 45, 88, 81, 76, 96]"
13430,81,1.890506157402525,"[81, 49, 65, 7, 53, 99, 40, 56, 28, 47]"
1464,89,3.1355561404378003,"[89, 49, 48, 83, 90, 84, 93, 82, 29, 80]"
8408,35,2.217926585364763,"[35, 89, 91, 93, 72, 31, 80, 76, 87, 69]"
9402,89,6.710454542939367,"[89, 49, 32, 27, 42, 80, 47, 83, 93, 28]"
8247,89,3.8576128925222144,"[89, 83, 76, 72, 93, 78, 90, 84, 73, 77]"
13582,75,1.2657351826090755,"[75, 21, 73, 72, 62, 78, 14, 77, 80, 83]"
4090,50,5.377194650190021,"[50, 27, 29, 76, 81, 19, 48, 25, 85, 63]"
15325,73,8.241404144508156,"[73, 78, 42, 87, 88, 27, 70, 97, 22, 48]"
12314,36,4.150946139156039,"[36, 27, 53, 32, 21, 72, 5, 62, 54, 6]"
4722,89,2.32788932300079,"[89, 91, 93, 96, 94, 53, 97, 72, 28, 27]"
7719,34,4.536273250531824,"[34, 100, 51, 98, 81, 55, 83, 29, 46, 85]"
13783,68,4.5902748970639,"[68, 66, 19, 3, 90, 70, 82, 40, 88, 92]"
21470,50,4.36265565890308,"[50, 32, 21, 14, 87, 76, 6, 55, 70, 73]"
10228,36,2.949923765570148,"[36, 49, 31, 68, 93, 89, 54, 72, 42, 56]"
16169,1,4.9753655743564575,"[1, 35, 85, 23, 68, 100, 60, 91, 11, 55]"
5160,98,4.471579947340196,"[98, 89, 84, 76, 77, 5, 99, 82, 96, 92]"
9464,21,1.8201400125826779,"[21, 29, 89, 35, 27, 72, 62, 49, 32, 81]"
10214,89,6.368112019625319,"[89, 96, 97, 93, 50, 69, 88, 12, 70, 95]"
8231,72,2.6337879993819664,"[72, 76, 87, 75, 84, 79, 80, 17, 92, 21]"
19407,42,8.710956800543073,"[42, 72, 89, 12, 50, 79, 82, 6, 88, 47]"
23155,49,7.911993559618186,"[49, 21, 81, 80, 54, 12, 61, 11, 77, 98]"
3584,36,1.7464774629443283,"[36, 53, 1, 69, 32, 81, 72, 89, 2, 87]"
22281,83,-0.8864748046599236,"[83, 98, 81, 76, 91, 87, 1, 35, 89, 100]"
15223,29,-0.034451694765883056,"[29, 62, 5, 72, 76, 48, 81, 56, 86, 61]"
20495,97,7.878989240789817,"[97, 10, 69, 9, 87, 23, 63, 32, 21, 31]"
4259,29,4.0438156034758155,"[29, 22, 32, 61, 72, 66, 93, 62, 48, 68]"
6776,89,4.266024084931731,"[89, 93, 76, 72, 97, 48, 47, 88, 96, 78]"
71,31,5.672494479909071,"[31, 65, 89, 73, 78, 85, 48, 2, 96, 25]"
24218,29,3.6705692969179604,"[29, 81, 36, 83, 53, 21, 98, 32, 69, 72]"
4457,50,5.918058826907478,"[50, 54, 36, 89, 35, 69, 83, 72, 66, 100]"
